,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
47,Port Elizabeth,US,1561748498,39.31,-74.98,95.0,52,40,11.41
48,Vostok,RU,1561748488,46.45,135.83,49.01,98,100,4.38
49,Cidreira,BR,1561748770,-30.17,-50.22,68.07,82,100,7.47
50,Lagoa,PT,1561748771,37.14,-8.45,82.99,54,0,8.05
51,Hermanus,ZA,1561748771,-34.42,19.24,57.0,77,54,7.0
52,Primorsk,RU,1561748771,60.37,28.62,60.69,58,16,10.47
53,Port Alfred,ZA,1561748771,-33.59,26.89,57.99,87,63,1.99
54,Sioux Lookout,CA,1561748475,50.1,-91.92,80.6,34,40,5.82
55,Taree,AU,1561748771,-31.91,152.46,50.0,100,75,2.24
56,Oussouye,SN,1561748772,12.49,-16.54,87.8,74,75,6.93
57,Dandong,CN,1561748772,40.12,124.37,66.63,94,100,6.26
58,Moussoro,TD,1561748772,13.64,16.49,93.99,34,41,10.74
59,Keti Bandar,PK,1561748772,24.14,67.45,84.63,81,34,22.44
60,Castro,CL,1561748772,-42.48,-73.76,41.0,60,0,9.17
61,Provideniya,RU,1561748772,64.42,-173.23,45.93,98,100,3.22
62,Butaritari,KI,1561748773,3.07,172.79,83.73,69,66,6.29
63,Findlay,US,1561748763,41.04,-83.65,93.99,40,1,12.75
64,Cedar City,US,1561748771,37.68,-113.06,82.4,8,1,18.34
65,Qaqortoq,GL,1561748773,60.72,-46.03,60.8,55,75,9.17
66,Gao,ML,1561748703,16.28,-0.04,102.27,19,39,1.23
67,Samfya,ZM,1561748773,-11.37,29.56,60.33,45,0,2.3
68,Geraldton,CA,1561748773,49.72,-86.95,77.0,38,75,6.93
69,Albany,US,1561748739,42.65,-73.75,90.0,29,40,6.93
70,Kaeo,NZ,1561748774,-35.1,173.78,46.99,94,4,4.0
71,Sume,RS,1561748774,43.62,20.22,69.8,60,20,3.36
72,Yellowknife,CA,1561748525,62.45,-114.38,60.8,51,40,9.17
73,Jamestown,AU,1561748774,-33.21,138.6,56.55,69,47,11.95
74,Vila Franca do Campo,PT,1561748774,37.72,-25.43,68.0,64,20,14.99
75,Brazzaville,CD,1561748774,-4.27,15.27,77.0,69,5,9.17
76,Walvis Bay,NA,1561748774,-22.95,14.51,59.0,77,0,5.82
77,Hilo,US,1561748404,19.71,-155.08,80.01,78,40,9.17
78,Tiksi,RU,1561748775,71.64,128.87,40.71,88,95,8.95
79,Evensk,RU,1561748775,61.92,159.24,47.37,87,100,2.64
80,Pandan,PH,1561748775,11.72,122.09,83.91,76,99,18.16
81,Wadi Maliz,TN,1561748775,36.47,8.55,89.6,35,20,10.29
82,Norman Wells,CA,1561748775,65.28,-126.83,62.6,59,75,10.29
83,Kutum,SD,1561748775,14.2,24.66,83.55,33,62,11.07
84,Vydrino,RU,1561748776,51.46,104.64,57.0,40,1,92.99
85,Saint-Philippe,CA,1561748776,45.36,-73.48,87.8,43,1,10.67
86,Nome,US,1561748776,30.04,-94.42,93.2,52,75,3.36
87,Qaanaaq,GL,1561748776,77.48,-69.36,48.99,44,15,1.32
88,Kodiak,US,1561748776,39.95,-94.76,93.2,26,40,4.7
89,Campo Verde,PE,1561748776,-8.47,-74.81,92.91,44,36,1.95
90,Necochea,AR,1561748777,-38.55,-58.74,55.0,83,100,8.01
91,Dicabisagan,PH,1561748777,17.08,122.42,74.91,97,100,2.24
92,Hithadhoo,MV,1561748777,-0.6,73.08,80.13,82,100,10.27
93,Huarmey,PE,1561748777,-10.07,-78.15,63.39,87,100,17.58
94,Tabou,CI,1561748777,4.42,-7.36,77.43,80,75,6.71
95,Dunedin,NZ,1561748701,-45.87,170.5,46.83,58,100,6.42
96,Te Anau,NZ,1561748711,-45.41,167.72,48.09,75,87,8.43
97,Valdivia,CL,1561748777,-39.81,-73.25,46.4,70,75,3.36
98,Vaini,IN,1561748778,15.34,74.49,76.17,87,100,1.68
99,Comodoro Rivadavia,AR,1561748778,-45.87,-67.48,39.2,51,0,12.75
100,Dingle,PH,1561748778,11.0,122.67,75.81,87,84,5.14
101,Bethel,US,1561748778,60.79,-161.76,62.6,72,20,3.36
102,Itoman,JP,1561748778,26.12,127.67,80.6,94,20,11.41
103,Clyde River,CA,1561748778,70.47,-68.59,44.6,65,5,23.04
104,Chara,GR,1561748779,39.42,22.43,90.0,33,40,12.75
105,Camopi,GF,1561748779,3.17,-52.33,79.23,94,23,3.4
106,Floro,NO,1561748779,61.6,5.03,62.6,87,75,10.29
107,Abalak,NE,1561748779,15.46,6.28,85.89,46,83,24.36
108,Kodinsk,RU,1561748779,58.6,99.18,65.73,49,10,3.33
109,Puerto Ayora,EC,1561748779,-0.74,-90.35,78.8,69,75,18.34
110,Belem de Sao Francisco,BR,1561748779,-8.75,-38.97,84.27,44,26,17.94
111,Nemuro,JP,1561748736,43.32,145.57,50.43,81,63,5.48
112,Chuy,UY,1561748780,-33.69,-53.46,61.41,95,99,6.53
113,Zeya,RU,1561748780,53.74,127.27,56.37,57,77,5.5
114,Hervey Bay,AU,1561748572,-25.3,152.85,57.99,87,40,8.05
115,Sitka,US,1561748780,37.17,-99.65,91.99,43,0,14.0
116,Narsaq,GL,1561748780,60.91,-46.05,60.8,55,75,9.17
117,Vardo,US,1561748780,39.62,-77.74,93.2,49,1,10.29
118,Kruisfontein,ZA,1561748781,-34.0,24.73,50.97,91,84,4.92
119,General Roca,AR,1561748781,-39.03,-67.58,46.4,65,40,4.7
120,Ilheus,BR,1561748781,-14.79,-39.05,77.0,94,75,1.12
121,Tuktoyaktuk,CA,1561748781,69.44,-133.03,37.4,86,75,6.93
122,Bandarbeyla,SO,1561748530,9.49,50.81,79.07,64,1,28.92
123,Mahebourg,MU,1561748664,-20.41,57.7,73.4,78,75,16.11
124,Cameta,US,1561748781,33.01,-90.84,69.8,88,40,11.41
125,San Vicente,EC,1561748782,-0.59,-80.41,78.8,78,75,11.41
126,Berdigestyakh,RU,1561748782,62.1,126.7,57.45,84,11,4.14
127,Port-Gentil,GA,1561748782,-0.72,8.78,77.0,83,40,11.41
128,Port Macquarie,AU,1561748782,-31.43,152.91,50.0,100,75,2.24
129,Chiang Khong,LA,1561748782,20.27,100.41,80.6,83,20,1.9
130,Hambantota,LK,1561748782,6.12,81.12,80.6,94,40,11.41
131,Port Hardy,CA,1561748782,50.7,-127.42,57.2,87,75,5.82
132,Tasiilaq,GL,1561748783,65.61,-37.64,48.2,66,75,6.93
133,Nhlangano,SZ,1561748783,-27.11,31.2,54.03,38,0,1.74
134,Avarua,CK,1561748740,-21.21,-159.78,71.6,68,66,5.82
135,Sabha,LY,1561748783,27.03,14.43,101.19,9,6,7.09
136,Goderich,CA,1561748591,43.74,-81.71,80.01,84,90,3.0
137,Hamilton,CA,1561748585,43.26,-79.87,84.2,64,90,17.22
138,Katsuura,JP,1561748783,33.93,134.5,75.2,94,75,3.36
139,Ambulu,ID,1561748784,-8.35,113.61,71.67,82,20,5.55
140,Tyret Pervaya,RU,1561748784,53.67,102.31,60.69,81,18,5.37
141,Yulara,AU,1561748784,-25.24,130.99,55.4,62,0,14.99
142,Corn Island,NI,1561748784,12.17,-83.04,82.65,79,100,20.98
143,Miri,NG,1561748784,10.31,9.75,80.49,61,61,4.0
144,Aksu,KZ,1561748784,52.04,76.93,57.2,76,0,8.95
145,Naruto,JP,1561748785,34.18,134.62,75.2,94,75,3.36
146,Araouane,ML,1561748628,18.9,-3.53,104.27,12,31,12.88
147,Waipawa,NZ,1561748785,-39.94,176.59,26.01,94,0,1.77
148,Forio,IT,1561748785,40.73,13.86,87.8,38,0,3.36
149,Alofi,NU,1561748785,-19.06,-169.92,71.6,88,90,18.34
150,Ust-Koksa,RU,1561748785,50.27,85.62,50.07,80,57,3.6
151,Emerald,AU,1561748785,-23.53,148.16,51.8,81,0,9.17
152,Barrow,AR,1561748786,-38.31,-60.23,54.39,71,100,11.59
153,Lima,PE,1561748585,-12.06,-77.04,66.2,77,90,10.29
154,Vila Velha,BR,1561748786,-3.71,-38.6,86.0,55,20,14.99
155,Amalapuram,IN,1561748786,16.58,82.0,88.59,60,100,7.11
156,Longyearbyen,NO,1561748786,78.22,15.63,41.0,65,75,16.11
157,Miranda,BR,1561748786,-20.24,-56.38,92.91,27,0,14.38
158,Uinskoye,RU,1561748786,56.88,56.58,54.75,84,86,8.23
159,Kunashak,RU,1561748787,55.7,61.55,51.8,93,0,2.24
160,Moree,AU,1561748787,-29.46,149.84,48.2,76,18,10.29
161,Russell,US,1561748787,38.9,-98.86,97.0,30,1,17.22
162,Purpe,RU,1561748787,64.48,76.69,46.99,89,89,7.45
163,Praia da Vitoria,PT,1561748787,38.73,-27.07,70.0,64,20,13.87
164,Sao Joao da Barra,BR,1561748787,-21.64,-41.05,82.4,54,20,19.46
165,Fortuna,ES,1561748788,38.18,-1.13,87.01,45,0,6.93
166,Portland,US,1561748041,43.66,-70.25,89.01,51,20,10.29
167,San Patricio,PY,1561748788,-26.98,-56.83,76.89,69,98,7.83
168,Half Moon Bay,US,1561748788,37.46,-122.43,72.0,56,75,6.93
169,Hobart,AU,1561748747,-42.88,147.33,55.4,76,75,8.05
170,Sahuaripa,MX,1561748788,29.05,-109.23,108.75,16,0,2.19
171,Leningradskiy,RU,1561748788,69.38,178.42,36.03,96,100,2.37
172,Canavieiras,BR,1561748789,-15.68,-38.95,77.0,94,75,4.7
173,Coquimbo,CL,1561748789,-29.95,-71.34,55.4,71,75,9.17
174,Mantua,IT,1561748789,45.16,10.79,93.2,48,0,8.05
175,Moncada,ES,1561748789,39.55,-0.39,90.0,33,0,5.82
176,Hami,CN,1561748789,42.84,93.51,82.65,14,0,15.48
177,Pachino,IT,1561748789,36.72,15.09,84.2,39,0,3.36
178,Cervo,BR,1561748789,-22.19,-46.24,71.6,56,20,6.78
179,Biloela,AU,1561748790,-24.4,150.51,51.69,90,9,7.96
180,Isangel,VU,1561748790,-19.55,169.27,69.8,94,90,3.49
181,Teya,MX,1561748731,21.05,-89.07,91.4,49,75,7.74
182,Zabaykalsk,CN,1561748790,49.64,117.33,52.23,80,100,3.53
183,Novoorsk,RU,1561748790,51.38,58.98,62.6,63,0,6.71
184,Kalianget,ID,1561748790,-7.74,113.68,58.89,85,26,5.79
185,Naryan-Mar,RU,1561748791,67.67,53.09,56.73,68,100,4.25
186,Yuncheng,CN,1561748791,35.03,111.0,64.47,70,16,4.74
187,Quang Ngai,VN,1561748791,15.12,108.8,75.45,77,83,3.2
188,Touros,BR,1561748791,-5.2,-35.46,82.4,69,40,13.87
189,Mildura,AU,1561748791,-34.18,142.16,59.0,77,90,12.75
190,Banda Aceh,ID,1561748707,5.56,95.32,84.63,78,99,15.61
191,Bambous Virieux,MU,1561748791,-20.34,57.76,73.4,78,75,16.11
192,Mitsamiouli,KM,1561748792,-11.38,43.28,77.0,83,20,8.05
193,Ilulissat,GL,1561748792,69.22,-51.1,46.4,61,40,11.41
194,Marawi,PH,1561748792,8.0,124.29,75.99,89,100,1.01
195,Lompoc,US,1561748792,34.64,-120.46,77.0,64,1,10.29
196,Thompson,CA,1561748792,55.74,-97.86,69.8,40,40,5.82
197,Mchinji,MW,1561748792,-13.8,32.89,57.27,59,0,5.26
198,Hasaki,JP,1561748792,35.73,140.83,68.0,94,75,9.17
199,Kumluca,TR,1561748793,36.37,30.29,66.63,72,68,6.24
200,Kysyl-Syr,RU,1561748793,63.9,122.77,62.67,82,99,5.55
201,Novokruchininskiy,RU,1561748793,51.78,113.77,57.2,76,96,2.17
202,Byron Bay,AU,1561748793,-28.65,153.62,60.8,100,75,8.05
203,Wokha,IN,1561748793,26.1,94.25,74.19,98,96,2.3
204,Avera,US,1561748793,33.19,-82.53,93.0,46,1,8.05
205,Abu Dhabi,AE,1561748791,24.47,54.37,96.8,39,5,2.24
206,Sarh,TD,1561748794,9.14,18.39,82.4,78,0,2.91
207,Sur,OM,1561748631,22.57,59.53,91.13,50,0,20.38
208,Buala,SB,1561748794,-8.15,159.59,78.87,82,98,3.91
209,Margate,AU,1561748794,-43.03,147.26,55.4,76,75,8.05
210,Mezhdurechensk,RU,1561748794,53.69,88.07,61.23,89,0,1.59
211,Cabo San Lucas,MX,1561748524,22.89,-109.91,100.99,28,5,9.17
212,Yarim,YE,1561748794,14.3,44.38,78.15,57,58,3.04
213,Padang,ID,1561748795,-0.92,100.36,83.73,81,1,10.71
214,Bonthe,SL,1561748795,7.53,-12.5,79.05,84,90,11.41
215,Pacific Grove,US,1561748795,36.62,-121.92,72.0,59,1,3.36
216,Carnarvon,ZA,1561748795,-30.97,22.13,47.55,76,46,12.28
217,Phalombe,MW,1561748795,-15.81,35.65,58.17,77,58,2.17
218,Taksimo,RU,1561748795,56.36,114.84,52.59,77,3,8.34
219,La Sarre,CA,1561748796,48.8,-79.2,74.73,49,52,1.36
220,Aras,ES,1561748796,42.56,-2.36,100.4,11,0,6.93
221,Meteti,PA,1561748796,8.5,-77.98,84.27,83,100,3.33
222,Brownsville,US,1561748796,25.91,-97.49,93.0,59,75,12.75
223,Vilhena,BR,1561748796,-12.74,-60.15,87.8,45,40,8.05
224,Huilong,CN,1561748796,31.15,106.5,66.27,91,12,0.54
225,Linkoping,SE,1561748796,58.41,15.62,71.6,35,0,11.41
226,Lebu,ET,1561748797,8.96,38.73,59.0,87,20,5.82
227,Zuwarah,LY,1561748797,32.93,12.08,79.59,68,0,10.71
228,Krasnokamensk,RU,1561748797,50.1,118.04,52.23,80,100,3.22
229,Oranjemund,ZA,1561748797,-28.55,16.43,55.65,90,47,10.49
230,Aldan,RU,1561748797,58.61,125.39,54.93,81,44,2.33
231,Micheweni,TZ,1561748797,-4.97,39.83,79.23,71,4,20.51
232,Loandjili,CG,1561748797,-4.77,11.87,71.6,88,20,4.7
233,Saurimo,AO,1561748798,-9.66,20.4,68.43,30,43,4.52
234,Tevaitoa,PF,1561748798,-16.78,-151.5,77.25,78,48,16.33
235,Uglegorsk,RU,1561748798,49.08,142.06,48.63,77,67,4.23
236,Naze,NG,1561748798,5.43,7.07,75.81,93,96,4.79
237,Ixtapa,MX,1561748798,20.71,-105.21,89.01,74,20,10.29
238,Upernavik,GL,1561748798,72.79,-56.15,36.75,81,0,9.24
239,Guerrero Negro,MX,1561748798,27.97,-114.04,65.37,84,92,10.92
240,North Platte,US,1561748799,41.12,-100.77,95.0,39,1,11.41
241,Ginda,IN,1561748799,30.69,78.49,63.03,49,2,5.21
242,Rodas,CU,1561748799,22.34,-80.56,91.4,74,75,8.05
243,Port Blair,IN,1561748799,11.67,92.75,83.73,78,100,27.81
244,Deputatskiy,RU,1561748799,69.3,139.9,51.51,62,40,9.19
245,Esil,KZ,1561748799,51.96,66.41,58.71,63,17,11.32
246,Mar del Plata,AR,1561748800,-46.43,-67.52,36.93,36,0,17.67
247,Tremedal,BR,1561748800,-14.98,-41.41,71.6,73,75,12.75
248,Boca do Acre,BR,1561748800,-8.76,-67.39,92.91,40,8,4.25
249,Senno,RU,1561748800,57.76,27.95,62.6,39,0,13.42
250,Seoul,KR,1561748087,37.57,126.98,69.8,88,90,1.12
251,Mpulungu,ZM,1561748800,-8.77,31.12,61.59,55,0,5.44
252,Bonavista,CA,1561748801,48.65,-53.11,52.0,80,78,1.99
253,Skelleftea,SE,1561748801,64.75,20.95,60.8,48,54,8.05
254,Diamantino,BR,1561748801,-14.4,-56.44,92.91,27,0,8.03
255,Amapa,HN,1561748801,15.09,-87.97,89.6,62,75,18.34
256,Narasannapeta,IN,1561748801,18.42,84.04,84.63,76,100,1.41
257,Dolores,UY,1561748801,-33.53,-58.22,57.99,98,94,5.99
258,Samarai,PG,1561748801,-10.62,150.67,75.09,93,66,9.44
259,West Bay,CA,1561748802,49.34,-123.21,64.4,63,90,9.17
260,Faanui,PF,1561748802,-16.48,-151.75,77.97,79,38,19.55
261,Konstantinovka,UA,1561748802,46.85,29.85,64.29,62,23,11.7
262,Scottsbluff,US,1561748802,41.87,-103.67,93.0,84,1,3.36
263,Solnechnyy,RU,1561748802,50.72,136.64,50.43,71,53,3.29
264,Caravelas,BR,1561748803,-17.73,-39.27,76.53,82,2,11.92
265,Iracoubo,GF,1561748803,5.48,-53.21,79.95,91,39,7.56
266,New Norfolk,AU,1561748803,-42.78,147.06,55.4,76,75,8.05
267,Kulhudhuffushi,MV,1561748803,6.62,73.07,83.55,76,83,12.93
268,Nanortalik,GL,1561748803,60.14,-45.24,38.55,92,100,7.2
269,Vestmannaeyjar,IS,1561748803,63.44,-20.27,51.15,82,3,8.1
270,Lata,IN,1561748803,30.78,78.62,38.91,72,16,4.05
271,Redmond,US,1561748789,47.67,-122.12,69.01,59,90,4.7
272,Rypefjord,NO,1561748804,70.63,23.67,46.4,87,75,19.46
273,Saldanha,PT,1561748804,41.42,-6.55,87.87,39,0,4.27
274,Rio Grande,BR,1561748804,-32.03,-52.1,60.8,100,90,9.93
275,Saint George,GR,1561748804,39.45,22.34,90.0,33,40,12.75
276,Kiruna,SE,1561748804,67.86,20.23,50.0,46,50,10.29
277,Viedma,AR,1561748805,-40.81,-62.99,48.09,53,80,11.72
278,Makushino,RU,1561748805,55.21,67.25,55.83,75,97,7.16
279,Swan Hill,AU,1561748805,-35.34,143.56,58.17,77,81,17.67
280,Frankfort,US,1561748714,38.2,-84.87,93.0,43,1,3.36
281,Los Llanos de Aridane,ES,1561748805,28.66,-17.92,71.6,68,40,12.75
282,Willowmore,ZA,1561748805,-33.3,23.49,48.27,69,100,10.94
283,Quatre Cocos,MU,1561748805,-20.21,57.76,73.4,78,75,16.11
284,Oskarshamn,SE,1561748806,57.26,16.44,73.4,46,0,3.36
285,Georgetown,GY,1561748806,6.8,-58.16,78.8,88,75,11.41
286,Puerto Madryn,AR,1561748510,-42.77,-65.04,41.27,30,33,1.59
287,Presidencia Roque Saenz Pena,AR,1561748806,-26.79,-60.44,81.75,57,100,7.18
288,Bullhead City,US,1561748644,35.15,-114.57,102.99,4,5,14.99
289,Saint-Louis,SN,1561748806,16.03,-16.5,78.8,74,40,4.7
290,Lovozero,RU,1561748806,68.01,35.02,50.79,54,56,3.33
291,Neiafu,TO,1561748806,-18.65,-173.98,73.4,94,75,10.29
292,Egvekinot,RU,1561748807,66.32,-179.17,45.57,97,100,6.46
293,Camacha,PT,1561748807,33.08,-16.33,69.8,64,20,11.41
294,Dapaong,TG,1561748807,10.86,0.2,90.75,45,20,9.51
295,Eyl,SO,1561748807,7.98,49.82,79.41,61,47,26.35
296,Ust-Ishim,RU,1561748807,57.69,71.17,47.37,86,0,1.9
297,Salinopolis,BR,1561748807,-0.61,-47.36,82.47,79,2,17.27
298,Lebork,PL,1561748574,54.54,17.75,70.0,45,0,6.93
299,Atar,MR,1561748808,20.52,-13.05,105.8,15,0,11.41
300,Kem,UG,1561748808,2.68,33.77,66.63,94,60,2.46
301,The Valley,AI,1561748808,18.22,-63.06,88.0,66,20,21.92
302,Abeche,TD,1561748808,13.83,20.83,91.65,38,0,16.82
303,Tarko-Sale,RU,1561748808,64.92,77.78,46.99,89,100,9.42
304,Shache,CN,1561748809,38.42,77.24,76.17,35,100,5.32
305,Vestmanna,FO,1561748537,62.16,-7.17,50.0,93,90,3.36
306,Mandalgovi,MN,1561748809,45.76,106.27,52.77,79,58,14.81
307,Kaitangata,NZ,1561748750,-46.28,169.85,41.61,74,97,5.44
308,Komsomolskiy,RU,1561748809,67.55,63.78,54.93,70,82,5.95
309,West Wendover,US,1561748809,40.74,-114.07,77.0,20,1,6.93
310,Inhambane,MZ,1561748809,-23.87,35.38,68.0,88,0,3.85
311,Dawlatabad,AF,1561748809,36.41,64.91,81.75,30,36,14.07
312,Tautira,PF,1561748693,-17.73,-149.15,78.8,69,40,11.41
313,Lavrentiya,RU,1561748810,65.58,-170.99,47.01,97,100,6.35
314,Mubi,NG,1561748810,10.27,13.26,82.83,62,58,5.82
315,Abbeville,FR,1561748810,50.11,1.83,78.01,65,0,10.29
316,Chokurdakh,RU,1561748810,70.62,147.9,44.13,51,0,9.89
317,Caruray,PH,1561748810,10.31,119.01,78.8,88,20,2.24
318,Jiangyou,CN,1561748810,31.78,104.73,61.23,77,76,2.44
319,Ambilobe,MG,1561748811,-13.19,49.05,74.73,86,28,10.04
320,Kapit,MY,1561748811,2.02,112.94,73.47,88,100,1.32
321,Akhmeta,GE,1561748811,42.03,45.21,68.0,82,75,16.11
322,Kenai,US,1561748811,60.55,-151.26,64.99,67,90,4.7
323,Ahipara,NZ,1561748811,-35.17,173.16,56.91,63,0,16.98
324,Havre,US,1561748811,48.55,-109.68,69.01,72,1,5.17
325,Barra do Garcas,BR,1561748812,-15.89,-52.26,93.2,26,0,10.29
326,Porto Novo,BR,1561748812,-23.68,-45.44,80.6,54,20,4.7
327,Shimoda,JP,1561748812,34.7,138.93,77.0,88,75,10.29
328,Makakilo City,US,1561748812,21.35,-158.09,80.6,83,75,9.17
329,Labuhan,ID,1561748812,-2.54,115.51,70.41,93,14,1.83
330,Opuwo,NA,1561748812,-18.06,13.84,61.23,53,10,3.02
331,Gunzenhausen,DE,1561748812,49.11,10.75,80.01,36,0,4.7
332,Karatuzskoye,RU,1561748813,53.61,92.87,61.05,81,0,0.83
333,Libertador General San Martin,AR,1561748813,-23.81,-64.79,94.71,6,100,6.26
334,San Carlos de Bariloche,AR,1561748813,-41.13,-71.31,35.6,74,75,5.82
335,Bajil,ES,1561748813,38.23,-2.07,80.01,44,0,5.01
336,Caxito,BR,1561748813,-22.65,-42.51,80.6,69,20,14.99
337,Petropavlovsk-Kamchatskiy,RU,1561748813,53.05,158.65,44.6,93,13,4.47
338,Fairbanks,US,1561748814,64.84,-147.72,73.99,60,90,3.42
339,Kharan,PK,1561748814,28.58,65.42,86.25,6,0,4.38
340,Ketchikan,US,1561748680,55.34,-131.65,60.8,82,90,3.36
341,Kahului,US,1561748814,20.89,-156.47,82.0,69,40,6.93
342,Jati,PK,1561748814,24.35,68.27,84.99,72,23,20.22
343,Isoka,ZM,1561748814,-10.15,32.64,56.55,58,0,4.9
344,Reconquista,AR,1561748814,-29.14,-59.64,70.41,89,100,4.72
345,Ponta do Sol,BR,1561748815,-20.63,-46.0,74.91,51,62,9.55
346,Salalah,OM,1561748815,17.01,54.1,82.4,88,75,9.17
347,Chicama,PE,1561748815,-7.84,-79.15,68.0,77,62,16.11
348,Chifeng,CN,1561748815,42.27,118.96,66.09,44,43,2.89
349,Skjervoy,NO,1561748815,70.03,20.97,46.4,81,75,9.17
350,El Cope,PA,1561748815,8.69,-82.32,86.0,74,40,14.99
351,Buchanan,LR,1561748815,5.88,-10.05,77.0,94,75,15.3
352,Tromso,NO,1561748816,69.65,18.96,50.0,61,75,32.21
353,Coari,BR,1561748816,-4.09,-63.14,88.59,57,64,5.39
354,Mossendjo,CG,1561748816,-2.95,12.72,72.93,67,7,1.07
355,Luderitz,NA,1561748816,-26.65,15.16,55.4,93,0,8.05
356,Orlik,PL,1561748816,53.95,17.74,68.0,45,0,6.93
357,Aleksandrov Gay,RU,1561748816,50.14,48.57,70.05,66,62,5.06
358,Mount Gambier,AU,1561748817,-37.83,140.78,59.0,87,90,19.46
359,Warrnambool,AU,1561748817,-38.38,142.48,60.01,79,61,15.01
360,Mange,SL,1561748817,8.93,-12.86,80.31,82,97,7.47
361,Pisco,PE,1561748817,-13.71,-76.2,71.6,30,75,9.17
362,Haapiti,PF,1561748817,-17.57,-149.87,78.8,69,40,11.41
363,Pangnirtung,CA,1561748817,66.15,-65.72,48.2,57,20,20.8
364,Grand Gaube,MU,1561748817,-20.01,57.66,73.4,78,75,16.11
365,Arvika,SE,1561748818,59.65,12.59,73.4,59,20,8.05
366,Bubaque,GW,1561748818,11.28,-15.83,80.31,84,68,18.16
367,Alice Springs,AU,1561748818,-23.7,133.88,46.4,45,0,4.7
368,Sola,TZ,1561748818,-3.17,33.8,75.45,40,53,2.98
369,Rawson,AR,1561748818,-43.3,-65.11,38.91,34,0,7.05
370,Alta Floresta,BR,1561748818,-9.87,-56.08,93.27,30,66,3.44
371,Luganville,VU,1561748818,-15.51,167.18,71.6,94,75,3.36
372,Son La,VN,1561748695,21.32,103.9,70.95,92,40,3.38
373,Dzhankoy,UA,1561748819,45.71,34.39,71.49,54,54,21.9
